atm_id,bank,operator,latitude,longitude,address,city,district,state,is_24x7,source
OSM-NODE-4508426291,unknown,unknown,30.690847,76.812026,unknown,Chandigarh,Chandigarh,Chandigarh,unknown,OpenStreetMap
OSM-NODE-4699379791,Punjab National Bank,Punjab National Bank,30.71764,76.766459,unknown,Chandigarh,Chandigarh,Chandigarh,True,OpenStreetMap
OSM-NODE-4782436023,riti ghar,riti ghar,30.724563,76.797619,unknown,Chandigarh,Chandigarh,Chandigarh,unknown,OpenStreetMap
OSM-NODE-5721820621,unknown,unknown,30.708731,76.784489,unknown,Chandigarh,Chandigarh,Chandigarh,True,OpenStreetMap
OSM-NODE-6612909977,HDFC Bank,HDFC Bank,30.680744,76.750667,unknown,Chandigarh,Chandigarh,Chandigarh,unknown,OpenStreetMap
OSM-NODE-6612932359,Union Bank of India,Union Bank of India,30.720921,76.759078,unknown,Chandigarh,Chandigarh,Chandigarh,unknown,OpenStreetMap
OSM-NODE-6612932362,IndusInd Bank,IndusInd Bank,30.723781,76.763548,unknown,Chandigarh,Chandigarh,Chandigarh,True,OpenStreetMap
OSM-NODE-6612932363,State Bank ATM Sector 35 Chandigarh,State Bank ATM Sector 35 Chandigarh,30.721671,76.760248,unknown,Chandigarh,Chandigarh,Chandigarh,unknown,OpenStreetMap
OSM-NODE-6612985292,Kotak Mahindra Bank,Kotak Mahindra Bank,30.734084,76.770203,unknown,Chandigarh,Chandigarh,Chandigarh,True,OpenStreetMap
OSM-NODE-6612985301,IndusInd Bank,IndusInd Bank,30.734622,76.769999,unknown,Chandigarh,Chandigarh,Chandigarh,True,OpenStreetMap
OSM-NODE-6612985309,Central Bank of India,Central Bank of India,30.730544,76.773212,unknown,Chandigarh,Chandigarh,Chandigarh,unknown,OpenStreetMap
OSM-NODE-6612985310,ICICI Bank,ICICI Bank,30.727679,76.769669,unknown,Chandigarh,Chandigarh,Chandigarh,True,OpenStreetMap
OSM-NODE-6612985315,Punjab National Bank,Punjab National Bank,30.734319,76.770482,unknown,Chandigarh,Chandigarh,Chandigarh,unknown,OpenStreetMap
OSM-NODE-6612985316,State Bank of India,State Bank of India,30.735913,76.7688,unknown,Chandigarh,Chandigarh,Chandigarh,unknown,OpenStreetMap
OSM-NODE-6975339942,J&K Bank,J&K Bank,30.738959,76.774238,unknown,Chandigarh,Chandigarh,Chandigarh,unknown,OpenStreetMap
OSM-NODE-6982385788,Kotak Mahindra Bank,Kotak Mahindra Bank,30.740698,76.797678,unknown,Chandigarh,Chandigarh,Chandigarh,unknown,OpenStreetMap
OSM-NODE-7100705525,State Bank of India,State Bank of India,30.76598,76.776882,unknown,Chandigarh,Chandigarh,Chandigarh,unknown,OpenStreetMap
OSM-NODE-7100712278,State Bank of India,State Bank of India,30.75192,76.768998,unknown,Chandigarh,Chandigarh,Chandigarh,unknown,OpenStreetMap
OSM-NODE-7100725175,State Bank of India,State Bank of India,30.740722,76.787581,unknown,Chandigarh,Chandigarh,Chandigarh,unknown,OpenStreetMap
OSM-NODE-7100725176,State Bank of India,State Bank of India,30.741153,76.785896,unknown,Chandigarh,Chandigarh,Chandigarh,unknown,OpenStreetMap
OSM-NODE-7100728050,State Bank of India,State Bank of India,30.760332,76.776966,unknown,Chandigarh,Chandigarh,Chandigarh,unknown,OpenStreetMap
OSM-NODE-7100741578,State Bank of India,State Bank of India,30.709855,76.780592,unknown,Chandigarh,Chandigarh,Chandigarh,unknown,OpenStreetMap
OSM-NODE-7100748789,State Bank of India,State Bank of India,30.724671,76.778691,unknown,Chandigarh,Chandigarh,Chandigarh,unknown,OpenStreetMap
OSM-NODE-7100749214,State Bank of India,State Bank of India,30.7112,76.812807,unknown,Chandigarh,Chandigarh,Chandigarh,unknown,OpenStreetMap
OSM-NODE-7100749444,State Bank of India,State Bank of India,30.72595,76.795382,unknown,Chandigarh,Chandigarh,Chandigarh,unknown,OpenStreetMap
OSM-NODE-7100749825,State Bank ATM Sector 22 Chandigarh,State Bank ATM Sector 22 Chandigarh,30.735921,76.768725,unknown,Chandigarh,Chandigarh,Chandigarh,unknown,OpenStreetMap
OSM-NODE-7100749826,State Bank of India,State Bank of India,30.731749,76.776027,unknown,Chandigarh,Chandigarh,Chandigarh,unknown,OpenStreetMap
OSM-NODE-7100751631,State Bank of India,State Bank of India,30.722004,76.79907,unknown,Chandigarh,Chandigarh,Chandigarh,unknown,OpenStreetMap
OSM-NODE-7100756405,State Bank of India,State Bank of India,30.72308,76.768178,unknown,Chandigarh,Chandigarh,Chandigarh,unknown,OpenStreetMap
OSM-NODE-7100756406,State Bank of India,State Bank of India,30.722166,76.768708,unknown,Chandigarh,Chandigarh,Chandigarh,unknown,OpenStreetMap
OSM-NODE-7100756407,State Bank of India,State Bank of India,30.719926,76.768212,unknown,Chandigarh,Chandigarh,Chandigarh,unknown,OpenStreetMap
OSM-NODE-7100765045,State Bank of India,State Bank of India,30.696912,76.783912,unknown,Chandigarh,Chandigarh,Chandigarh,unknown,OpenStreetMap
OSM-NODE-7100765046,State Bank of India,State Bank of India,30.706158,76.801128,unknown,Chandigarh,Chandigarh,Chandigarh,unknown,OpenStreetMap
OSM-NODE-7100779480,State Bank of India,State Bank of India,30.74855,76.790257,unknown,Chandigarh,Chandigarh,Chandigarh,unknown,OpenStreetMap
OSM-NODE-7100780557,State Bank ATM shanti nagar Manimajra Chandigarh,State Bank ATM shanti nagar Manimajra Chandigarh,30.719778,76.832462,unknown,Chandigarh,Chandigarh,Chandigarh,unknown,OpenStreetMap
OSM-NODE-7100785608,State Bank of India,State Bank of India,30.765588,76.774684,unknown,Chandigarh,Chandigarh,Chandigarh,unknown,OpenStreetMap
OSM-NODE-7100849225,State Bank of India,State Bank of India,30.740666,76.789686,unknown,Chandigarh,Chandigarh,Chandigarh,unknown,OpenStreetMap
OSM-NODE-7100849226,State Bank of India,State Bank of India,30.740469,76.78636,unknown,Chandigarh,Chandigarh,Chandigarh,unknown,OpenStreetMap
OSM-NODE-7101048042,State Bank ATM Sector 42 Chandigarh,State Bank ATM Sector 42 Chandigarh,30.723466,76.744821,unknown,Chandigarh,Chandigarh,Chandigarh,unknown,OpenStreetMap
OSM-NODE-7101110843,State Bank of India,State Bank of India,30.735663,76.779779,unknown,Chandigarh,Chandigarh,Chandigarh,unknown,OpenStreetMap
OSM-NODE-7101117737,State Bank of India,State Bank of India,30.730525,76.773968,unknown,Chandigarh,Chandigarh,Chandigarh,unknown,OpenStreetMap
OSM-NODE-7101118894,State Bank ATM Sector 22 Chandigarh,State Bank ATM Sector 22 Chandigarh,30.727772,76.767964,unknown,Chandigarh,Chandigarh,Chandigarh,unknown,OpenStreetMap
OSM-NODE-7101123318,State Bank of India,State Bank of India,30.739629,76.748543,unknown,Chandigarh,Chandigarh,Chandigarh,unknown,OpenStreetMap
OSM-NODE-7101123321,State Bank of India,State Bank of India,30.722743,76.810751,unknown,Chandigarh,Chandigarh,Chandigarh,unknown,OpenStreetMap
OSM-NODE-7101123322,State Bank ATM Sector 28 Chandigarh,State Bank ATM Sector 28 Chandigarh,30.714998,76.806182,unknown,Chandigarh,Chandigarh,Chandigarh,unknown,OpenStreetMap
OSM-NODE-7101123334,State Bank of India,State Bank of India,30.751344,76.794365,unknown,Chandigarh,Chandigarh,Chandigarh,unknown,OpenStreetMap
OSM-NODE-7101127225,State Bank of India,State Bank of India,30.718044,76.784297,unknown,Chandigarh,Chandigarh,Chandigarh,unknown,OpenStreetMap
OSM-NODE-7101130694,State Bank of India,State Bank of India,30.723183,76.76842,unknown,Chandigarh,Chandigarh,Chandigarh,unknown,OpenStreetMap
OSM-NODE-7101136356,State Bank ATM Sector 31 Chandigarh,State Bank ATM Sector 31 Chandigarh,30.702667,76.78107,unknown,Chandigarh,Chandigarh,Chandigarh,unknown,OpenStreetMap
OSM-NODE-7101145043,State Bank of India,State Bank of India,30.726212,76.808389,unknown,Chandigarh,Chandigarh,Chandigarh,unknown,OpenStreetMap
OSM-NODE-7101178390,State Bank of India,State Bank of India,30.733661,76.802946,unknown,Chandigarh,Chandigarh,Chandigarh,unknown,OpenStreetMap
OSM-NODE-7101264406,State Bank of India,State Bank of India,30.711377,76.753587,unknown,Chandigarh,Chandigarh,Chandigarh,unknown,OpenStreetMap
OSM-NODE-7101271710,State Bank of India,State Bank of India,30.716432,76.744526,unknown,Chandigarh,Chandigarh,Chandigarh,unknown,OpenStreetMap
OSM-NODE-7101278534,State Bank ATM Industrial and Business Park,State Bank ATM Industrial and Business Park,30.702073,76.799971,unknown,Chandigarh,Chandigarh,Chandigarh,unknown,OpenStreetMap
OSM-NODE-7101283034,State Bank ATM sector 49 Chandigarh,State Bank ATM sector 49 Chandigarh,30.693417,76.755874,unknown,Chandigarh,Chandigarh,Chandigarh,unknown,OpenStreetMap
OSM-NODE-7101283035,State Bank of India,State Bank of India,30.753877,76.741891,unknown,Chandigarh,Chandigarh,Chandigarh,unknown,OpenStreetMap
OSM-NODE-7101283036,State Bank of India,State Bank of India,30.757616,76.778211,unknown,Chandigarh,Chandigarh,Chandigarh,unknown,OpenStreetMap
OSM-NODE-7101283037,State Bank ATM Sector 14 Chandigarh,State Bank ATM Sector 14 Chandigarh,30.756306,76.766792,unknown,Chandigarh,Chandigarh,Chandigarh,unknown,OpenStreetMap
OSM-NODE-7101283038,State Bank of India,State Bank of India,30.737851,76.794737,unknown,Chandigarh,Chandigarh,Chandigarh,unknown,OpenStreetMap
OSM-NODE-7101307096,State Bank ATM ManiMajra Chandigarh,State Bank ATM ManiMajra Chandigarh,30.718,76.834868,unknown,Chandigarh,Chandigarh,Chandigarh,unknown,OpenStreetMap
OSM-NODE-7101307097,State Bank of India,State Bank of India,30.715792,76.843234,unknown,Chandigarh,Chandigarh,Chandigarh,unknown,OpenStreetMap
OSM-NODE-7101326002,State Bank ATM Civil Secretariat Chandigarh,State Bank ATM Civil Secretariat Chandigarh,30.761636,76.800395,unknown,Chandigarh,Chandigarh,Chandigarh,unknown,OpenStreetMap
OSM-NODE-7104038217,State Bank of India,State Bank of India,30.754462,76.787671,unknown,Chandigarh,Chandigarh,Chandigarh,unknown,OpenStreetMap
OSM-NODE-7104038218,State Bank of India,State Bank of India,30.747101,76.787716,unknown,Chandigarh,Chandigarh,Chandigarh,unknown,OpenStreetMap
OSM-NODE-7104038219,SBI,State Bank ATM Sukhna Lake Chandigarh,30.745234,76.810116,unknown,Chandigarh,Chandigarh,Chandigarh,unknown,OpenStreetMap
OSM-NODE-7104077250,State Bank ATM Sector 36 Chandigarh,State Bank ATM Sector 36 Chandigarh,30.734242,76.753348,unknown,Chandigarh,Chandigarh,Chandigarh,unknown,OpenStreetMap
OSM-NODE-7104094663,State Bank of India,State Bank of India,30.735044,76.736662,unknown,Chandigarh,Chandigarh,Chandigarh,unknown,OpenStreetMap
OSM-NODE-7104099181,State Bank of India,State Bank of India,30.716188,76.776416,unknown,Chandigarh,Chandigarh,Chandigarh,unknown,OpenStreetMap
OSM-NODE-7104103067,State Bank ATM (Khuda Ali Sher),State Bank ATM (Khuda Ali Sher),30.77417,76.810704,unknown,Chandigarh,Chandigarh,Chandigarh,unknown,OpenStreetMap
OSM-NODE-7466918429,Punjab National Bank,Punjab National Bank,30.724319,76.768118,unknown,Chandigarh,Chandigarh,Chandigarh,unknown,OpenStreetMap
OSM-NODE-9730014718,Punjab National Bank,Punjab National Bank,30.734855,76.778909,unknown,Chandigarh,Chandigarh,Chandigarh,unknown,OpenStreetMap
OSM-NODE-9999535169,Bank of Baroda,Bank of Baroda,30.683739,76.846317,unknown,Chandigarh,Chandigarh,Chandigarh,unknown,OpenStreetMap
OSM-NODE-10296408019,Union Bank of India,Union Bank of India,30.681474,76.848834,unknown,Chandigarh,Chandigarh,Chandigarh,unknown,OpenStreetMap
OSM-NODE-11076363672,HDFC Bank,HDFC Bank,30.713177,76.834661,unknown,Chandigarh,Chandigarh,Chandigarh,unknown,OpenStreetMap
OSM-NODE-11483121727,CSB Bank,CSB Bank,30.682821,76.845019,unknown,Chandigarh,Chandigarh,Chandigarh,unknown,OpenStreetMap
OSM-NODE-12097020971,State Bank of India,State Bank of India,30.751312,76.785461,unknown,Chandigarh,Chandigarh,Chandigarh,unknown,OpenStreetMap
OSM-NODE-12597199136,State Bank of India,State Bank of India,30.705057,76.773787,unknown,Chandigarh,Chandigarh,Chandigarh,unknown,OpenStreetMap
OSM-NODE-1447314499,Punjab National Bank,Punjab National Bank,30.338667,76.828081,unknown,Ambala,Ambala,Haryana,unknown,OpenStreetMap
OSM-NODE-1447314711,State Bank of India,unknown,30.389939,76.780324,unknown,Ambala,Ambala,Haryana,unknown,OpenStreetMap
OSM-NODE-2065206400,unknown,unknown,30.391024,76.791943,unknown,Ambala,Ambala,Haryana,unknown,OpenStreetMap
OSM-NODE-8046150089,Axis Bank,Axis Bank,30.3684,76.799281,unknown,Ambala,Ambala,Haryana,unknown,OpenStreetMap
OSM-NODE-9525196143,HDFC Bank,HDFC Bank,30.359542,76.83165,unknown,Ambala,Ambala,Haryana,True,OpenStreetMap
OSM-NODE-266376686,HSBC Bank,unknown,28.474044,77.04749,unknown,Gurugram,Gurugram,Haryana,unknown,OpenStreetMap
OSM-NODE-266376703,HDFC Bank,unknown,28.474096,77.047576,unknown,Gurugram,Gurugram,Haryana,unknown,OpenStreetMap
OSM-NODE-266587260,Citibank,Citibank,28.476707,77.063354,unknown,Gurugram,Gurugram,Haryana,unknown,OpenStreetMap
OSM-NODE-266734429,ICICI Bank,unknown,28.410913,77.043077,unknown,Gurugram,Gurugram,Haryana,unknown,OpenStreetMap
OSM-NODE-267120725,unknown,unknown,28.471761,77.101957,unknown,Gurugram,Gurugram,Haryana,unknown,OpenStreetMap
OSM-NODE-271336441,State Bank of India,unknown,28.474153,77.047729,unknown,Gurugram,Gurugram,Haryana,unknown,OpenStreetMap
OSM-NODE-271336448,HDFC Bank,HDFC Bank,28.455757,77.038404,unknown,Gurugram,Gurugram,Haryana,True,OpenStreetMap
OSM-NODE-271336454,State Bank of India,State Bank of India,28.456074,77.038211,unknown,Gurugram,Gurugram,Haryana,True,OpenStreetMap
OSM-NODE-277793690,unknown,unknown,28.474863,77.070697,unknown,Gurugram,Gurugram,Haryana,unknown,OpenStreetMap
OSM-NODE-297255247,ICICI Bank,ICICI Bank,28.459029,77.076436,unknown,Gurugram,Gurugram,Haryana,unknown,OpenStreetMap
OSM-NODE-297255248,HDFC Bank,HDFC Bank Limited,28.459016,77.076389,unknown,Gurugram,Gurugram,Haryana,unknown,OpenStreetMap
OSM-NODE-412744824,ICICI Bank,ICICI Bank,28.452938,77.050711,unknown,Gurugram,Gurugram,Haryana,True,OpenStreetMap
OSM-NODE-477905030,State Bank of India,State Bank of India,28.391685,77.048679,unknown,Gurugram,Gurugram,Haryana,unknown,OpenStreetMap
OSM-NODE-477905082,Union Bank of India,Union Bank of India,28.393599,77.046738,unknown,Gurugram,Gurugram,Haryana,unknown,OpenStreetMap
OSM-NODE-477905114,Punjab National Bank,Punjab National Bank,28.463361,77.032807,unknown,Gurugram,Gurugram,Haryana,unknown,OpenStreetMap
OSM-NODE-482663982,Standard Chartered,Standard Chartered,28.493008,77.092111,unknown,Gurugram,Gurugram,Haryana,unknown,OpenStreetMap
OSM-NODE-482663990,ABN Amro Bank,ABN Amro Bank,28.494107,77.093327,unknown,Gurugram,Gurugram,Haryana,unknown,OpenStreetMap
OSM-NODE-482663991,Citibank,Citibank,28.493708,77.093021,unknown,Gurugram,Gurugram,Haryana,unknown,OpenStreetMap
OSM-NODE-482663996,Kotak Mahindra Bank,Kotak Mahindra Bank,28.493598,77.092904,unknown,Gurugram,Gurugram,Haryana,unknown,OpenStreetMap
OSM-NODE-482849107,ICICI Bank,ICICI Bank,28.471738,77.102494,unknown,Gurugram,Gurugram,Haryana,True,OpenStreetMap
OSM-NODE-484198838,ICICI Bank,ICICI Bank,28.49498,77.103355,unknown,Gurugram,Gurugram,Haryana,True,OpenStreetMap
OSM-NODE-484198839,State Bank of India,State Bank of India,28.494834,77.103521,unknown,Gurugram,Gurugram,Haryana,unknown,OpenStreetMap
OSM-NODE-537979936,HDFC Bank,HDFC,28.479567,77.083775,unknown,Gurugram,Gurugram,Haryana,unknown,OpenStreetMap
OSM-NODE-537979940,IndusInd Bank,IndusInd Bank,28.479323,77.082874,unknown,Gurugram,Gurugram,Haryana,unknown,OpenStreetMap
OSM-NODE-537979943,ABN Amro,ABN Amro,28.479445,77.082871,unknown,Gurugram,Gurugram,Haryana,unknown,OpenStreetMap
OSM-NODE-537979957,Axis Bank,Axis Bank,28.479618,77.086653,unknown,Gurugram,Gurugram,Haryana,unknown,OpenStreetMap
OSM-NODE-537979966,Axis Bank,Axis Bank,28.480144,77.089523,unknown,Gurugram,Gurugram,Haryana,unknown,OpenStreetMap
OSM-NODE-565507015,unknown,unknown,28.43874,77.005287,unknown,Gurugram,Gurugram,Haryana,unknown,OpenStreetMap
OSM-NODE-581891474,unknown,unknown,28.461667,77.024146,unknown,Gurugram,Gurugram,Haryana,unknown,OpenStreetMap
OSM-NODE-1358147112,Standard Chartered,Standard Chartered,28.451631,77.074977,unknown,Gurugram,Gurugram,Haryana,unknown,OpenStreetMap
OSM-NODE-1358147152,HDFC Bank,HDFC Bank,28.451654,77.074976,unknown,Gurugram,Gurugram,Haryana,True,OpenStreetMap
OSM-NODE-1371226161,Standard Chartered,Standard Chartered,28.467562,77.081527,unknown,Gurugram,Gurugram,Haryana,unknown,OpenStreetMap
OSM-NODE-1372597046,RBL Bank,RBL Bank,28.462538,77.086921,unknown,Gurugram,Gurugram,Haryana,unknown,OpenStreetMap
OSM-NODE-1389058661,Punjab National Bank,Punjab National Bank,28.477754,77.0726,unknown,Gurugram,Gurugram,Haryana,unknown,OpenStreetMap
OSM-NODE-1389062584,unknown,unknown,28.417564,77.0564,unknown,Gurugram,Gurugram,Haryana,unknown,OpenStreetMap
OSM-NODE-1390057661,HDFC Bank,HDFC Bank,28.457228,77.063349,unknown,Gurugram,Gurugram,Haryana,True,OpenStreetMap
OSM-NODE-1390058506,ICICI Bank,ICICI Bank,28.456887,77.063362,unknown,Gurugram,Gurugram,Haryana,True,OpenStreetMap
OSM-NODE-1390059649,Axis Bank,Axis Bank,28.457102,77.063353,unknown,Gurugram,Gurugram,Haryana,unknown,OpenStreetMap
OSM-NODE-1390062512,Citibank,Citibank,28.456991,77.063372,unknown,Gurugram,Gurugram,Haryana,unknown,OpenStreetMap
OSM-NODE-1556459151,Citibank,Citibank,28.50457,77.097135,unknown,Gurugram,Gurugram,Haryana,unknown,OpenStreetMap
OSM-NODE-1562504506,unknown,unknown,28.452613,77.050501,unknown,Gurugram,Gurugram,Haryana,unknown,OpenStreetMap
OSM-NODE-1668936691,Standard Chartered,Standard Chartered,28.417236,77.050594,unknown,Gurugram,Gurugram,Haryana,unknown,OpenStreetMap
OSM-NODE-2009753174,unknown,unknown,28.529322,77.086729,unknown,Gurugram,Gurugram,Haryana,unknown,OpenStreetMap
OSM-NODE-2399657393,ICICI Bank,ICICI Bank,28.424988,77.099285,unknown,Gurugram,Gurugram,Haryana,True,OpenStreetMap
OSM-NODE-2399657399,State Bank of India,State Bank of India,28.425224,77.099238,unknown,Gurugram,Gurugram,Haryana,True,OpenStreetMap
OSM-NODE-2450211342,ICICI Bank,ICICI Bank,28.474587,77.070711,unknown,Gurugram,Gurugram,Haryana,True,OpenStreetMap
OSM-NODE-4078505382,state bank,unknown,28.47468,77.009418,unknown,Gurugram,Gurugram,Haryana,unknown,OpenStreetMap
OSM-NODE-4101251295,unknown,unknown,28.401363,77.048587,unknown,Gurugram,Gurugram,Haryana,True,OpenStreetMap
OSM-NODE-4101264092,unknown,unknown,28.401395,77.048662,unknown,Gurugram,Gurugram,Haryana,True,OpenStreetMap
OSM-NODE-4212577536,Axis Bank,Axis Bank,28.511878,77.03918,unknown,Gurugram,Gurugram,Haryana,unknown,OpenStreetMap
OSM-NODE-4212600962,Punjab National Bank,Punjab National Bank,28.504574,77.053167,unknown,Gurugram,Gurugram,Haryana,unknown,OpenStreetMap
OSM-NODE-4357793821,HDFC,HDFC,28.449038,77.056655,unknown,Gurugram,Gurugram,Haryana,unknown,OpenStreetMap
OSM-NODE-4357795875,Axis Bank,Axis Bank,28.448946,77.057027,unknown,Gurugram,Gurugram,Haryana,unknown,OpenStreetMap
OSM-NODE-4357795876,State Bank of India,State Bank of India,28.449216,77.056638,unknown,Gurugram,Gurugram,Haryana,True,OpenStreetMap
OSM-NODE-4969981421,HDFC Bank,HDFC Bank,28.451323,77.081766,unknown,Gurugram,Gurugram,Haryana,True,OpenStreetMap
OSM-NODE-5220810365,ICICI Bank,ICICI Bank,28.434677,77.10641,Golf Course Road,Gurugram,Gurugram,Haryana,False,OpenStreetMap
OSM-NODE-5220810368,State Bank of India,State Bank of India,28.433569,77.105581,Golf Course Road,Gurugram,Gurugram,Haryana,False,OpenStreetMap
OSM-NODE-5220810369,IndusInd Bank,IndusInd Bank,28.433817,77.105388,Golf Course Road,Gurugram,Gurugram,Haryana,False,OpenStreetMap
OSM-NODE-5220810370,Kotak Mahindra Bank,Kotak Mahindra Bank,28.433819,77.105233,Golf Course Road,Gurugram,Gurugram,Haryana,False,OpenStreetMap
OSM-NODE-5221320059,ICICI Bank,ICICI Bank,28.434699,77.106381,unknown,Gurugram,Gurugram,Haryana,True,OpenStreetMap
OSM-NODE-5228001162,HDFC Bank,HDFC Bank,28.434663,77.106438,Golf Course Road,Gurugram,Gurugram,Haryana,False,OpenStreetMap
OSM-NODE-5248190626,Citibank,Citibank,28.434798,77.106366,unknown,Gurugram,Gurugram,Haryana,unknown,OpenStreetMap
OSM-NODE-5248190627,IndusInd Bank,IndusInd Bank,28.435923,77.111625,unknown,Gurugram,Gurugram,Haryana,unknown,OpenStreetMap
OSM-NODE-5412580321,Axis Bank,Axis Bank,28.463704,77.064998,unknown,Gurugram,Gurugram,Haryana,unknown,OpenStreetMap
OSM-NODE-6221553773,Bank of Baroda,Bank of Baroda,28.439274,77.034235,unknown,Gurugram,Gurugram,Haryana,unknown,OpenStreetMap
OSM-NODE-6435602485,Central Bank of India,Central Bank of India,28.491905,77.09378,unknown,Gurugram,Gurugram,Haryana,True,OpenStreetMap
OSM-NODE-7131288729,IndusInd Bank,IndusInd Bank,28.465544,77.032367,unknown,Gurugram,Gurugram,Haryana,True,OpenStreetMap
OSM-NODE-7131328036,Axis Bank,Axis Bank,28.465022,77.033605,unknown,Gurugram,Gurugram,Haryana,unknown,OpenStreetMap
OSM-NODE-7131357055,Karnataka Bank,Karnataka Bank,28.4649,77.033616,unknown,Gurugram,Gurugram,Haryana,unknown,OpenStreetMap
OSM-NODE-7131374816,ICICI Bank,ICICI Bank,28.476549,77.062952,unknown,Gurugram,Gurugram,Haryana,True,OpenStreetMap
OSM-NODE-9871055743,HDFC Bank,HDFC Bank,28.512266,77.026151,unknown,Gurugram,Gurugram,Haryana,True,OpenStreetMap
OSM-NODE-9879040022,Axis Bank,Axis Bank,28.472767,77.086902,unknown,Gurugram,Gurugram,Haryana,unknown,OpenStreetMap
