city,nearest_zone,bank,atm_count,known_count
Meerut,Zone_06,HDFC Bank,3,3
Meerut,Zone_06,Hitachi,1,1
Meerut,Zone_06,ICICI Bank,4,4
Meerut,Zone_06,Indian Bank,1,1
Meerut,Zone_06,IndusInd Bank,1,1
Meerut,Zone_06,Karur Vysya Bank,1,1
Meerut,Zone_06,Punjab & Sind Bank,1,1
Meerut,Zone_06,Punjab National Bank,6,6
Meerut,Zone_06,State Bank of India,7,7
Meerut,Zone_06,UCO Bank,2,2
New Delhi,Zone_08,Axis Bank,1,1
New Delhi,Zone_08,Bank of Baroda,1,1
New Delhi,Zone_08,Canara Bank,1,1
New Delhi,Zone_08,Central Bank of India,1,1
New Delhi,Zone_08,Punjab National Bank,1,1
New Delhi,Zone_08,State Bank,1,1
New Delhi,Zone_08,State Bank of India,5,5
New Delhi,Zone_08,UCO Bank,1,1
New Delhi,Zone_08,Union Bank of India,1,1
New Delhi,Zone_08,unknown,3,0
Noida,Zone_07,State Bank of India,1,1
Patiala,Zone_04,AXIS Bank,1,1
Patiala,Zone_04,HDFC Bank,1,1
Patiala,Zone_04,unknown,3,0
