complaint_id,city,complaint_latitude,complaint_longitude,actual_zone,predicted_zone,prediction_confidence,prob_zone_07,prob_zone_08,is_correct
CT019996,Noida,28.519198876232387,77.34634117501352,Zone_07,Zone_07,0.9828,0.9828,0.0171,True
CT003298,Gurugram,28.39837242983433,76.92532986726758,Zone_08,Zone_08,0.9784,0.0055,0.9784,True
CT011839,New Delhi,28.633492149376117,77.17232451675011,Zone_07,Zone_08,0.5323,0.4676,0.5323,False
CT017042,Noida,28.566230380597897,77.46210312408019,Zone_07,Zone_07,0.983,0.983,0.0169,True
CT005039,Ghaziabad,28.678964312445007,77.48875193179907,Zone_07,Zone_07,0.9748,0.9748,0.0,True
CT003982,Gurugram,28.40019640696638,76.97950528842742,Zone_08,Zone_08,0.995,0.005,0.995,True
CT015520,Noida,28.50555865588272,77.45262682632591,Zone_07,Zone_07,0.938,0.938,0.062,True
CT000295,Ghaziabad,28.617485851128556,77.52032861467892,Zone_07,Zone_07,0.9816,0.9816,0.0,True
CT007314,New Delhi,28.622045291639022,77.15929751835353,Zone_07,Zone_08,0.5498,0.4501,0.5498,False
CT003262,New Delhi,28.693526924931547,77.17817432495025,Zone_08,Zone_08,0.7466,0.2534,0.7466,True
CT004334,Gurugram,28.46467761557067,77.0765475896643,Zone_08,Zone_08,0.9999,0.0001,0.9999,True
CT007218,New Delhi,28.59805803591216,77.11090463667881,Zone_08,Zone_08,0.6745,0.3255,0.6745,True
CT006086,Noida,28.5466925641819,77.35818851040798,Zone_07,Zone_07,0.9983,0.9983,0.0016,True
CT016112,Faridabad,28.38660253821701,77.25993981838742,Zone_08,Zone_07,0.7924,0.7924,0.19,False
CT017819,Gurugram,28.470790437516243,77.06484294453253,Zone_08,Zone_08,0.9987,0.0013,0.9987,True
CT015595,New Delhi,28.60666050073897,77.22221567836907,Zone_07,Zone_08,0.5466,0.4534,0.5466,False
CT001962,Gurugram,28.465269526829136,77.00076899303342,Zone_08,Zone_08,0.9997,0.0003,0.9997,True
CT015427,Ghaziabad,28.65899406118869,77.36875661906713,Zone_07,Zone_07,0.9682,0.9682,0.0011,True
CT010824,Gurugram,28.437117920525168,77.06297610861087,Zone_08,Zone_08,0.9983,0.0,0.9983,True
CT014791,Noida,28.440688236742403,77.43108947284519,Zone_07,Zone_07,0.9699,0.9699,0.03,True
CT017864,Faridabad,28.37740021724783,77.34659255076679,Zone_07,Zone_07,0.9057,0.9057,0.0925,True
CT001609,Gurugram,28.459755741142036,77.03003065595684,Zone_08,Zone_08,0.9975,0.0025,0.9975,True
CT006749,Gurugram,28.429202333127066,77.021281275653,Zone_08,Zone_08,0.9999,0.0001,0.9999,True
CT012475,New Delhi,28.63053178355074,77.17561732402213,Zone_07,Zone_08,0.6595,0.3404,0.6595,False
CT004979,Noida,28.54689713550271,77.30603410898682,Zone_07,Zone_07,0.9875,0.9875,0.0121,True
CT000279,Ghaziabad,28.658913407752237,77.48964650449942,Zone_07,Zone_07,0.9961,0.9961,0.0006,True
CT010980,Faridabad,28.414580305297765,77.3400350757716,Zone_07,Zone_07,0.8621,0.8621,0.1378,True
CT006758,Ghaziabad,28.73046425288214,77.38354091368372,Zone_07,Zone_07,0.9368,0.9368,0.0039,True
CT018344,New Delhi,28.645038756822792,77.23728694332112,Zone_08,Zone_08,0.5633,0.4366,0.5633,True
CT001934,Noida,28.57566819930845,77.45850866724945,Zone_07,Zone_07,0.9804,0.9804,0.0193,True
CT005877,New Delhi,28.63886024974818,77.20459046145882,Zone_08,Zone_08,0.6561,0.3438,0.6561,True
CT006948,New Delhi,28.541285602823837,77.1948688588531,Zone_07,Zone_08,0.6296,0.3703,0.6296,False
CT005543,New Delhi,28.58324769465656,77.16645026711171,Zone_08,Zone_08,0.699,0.2884,0.699,True
CT013777,Gurugram,28.455670397544548,77.08773471187207,Zone_08,Zone_08,0.9999,0.0001,0.9999,True
CT001599,Noida,28.52846730299694,77.36969611376642,Zone_07,Zone_07,0.9672,0.9672,0.0328,True
CT002165,Ghaziabad,28.663496143050896,77.47220982387901,Zone_07,Zone_07,0.9737,0.9737,0.0004,True
CT008548,Faridabad,28.3685188689282,77.30722121150792,Zone_07,Zone_07,0.8362,0.8362,0.162,True
CT006551,Ghaziabad,28.63698205464969,77.48028315490535,Zone_07,Zone_07,0.9833,0.9833,0.0,True
CT016437,Gurugram,28.511167894498644,77.06838216062403,Zone_08,Zone_08,0.9999,0.0001,0.9999,True
CT008293,Gurugram,28.431050598865816,77.08113055880304,Zone_08,Zone_08,0.9999,0.0001,0.9999,True
CT018027,New Delhi,28.692467909507887,77.28424560908867,Zone_07,Zone_08,0.702,0.2979,0.702,False
CT008935,Noida,28.51669994350696,77.3509498538743,Zone_07,Zone_07,0.9766,0.9766,0.0234,True
CT008153,Faridabad,28.42446075812134,77.32048002218197,Zone_07,Zone_07,0.8643,0.8643,0.134,True
CT011653,Faridabad,28.427011592049528,77.38229261501593,Zone_07,Zone_07,0.8559,0.8559,0.1441,True
CT016837,Faridabad,28.41065445711005,77.30141153668471,Zone_07,Zone_07,0.8579,0.8579,0.142,True
CT011005,Noida,28.49441117682958,77.36692504220488,Zone_07,Zone_07,0.9913,0.9913,0.0086,True
CT001018,Ghaziabad,28.634032815515265,77.49644543243579,Zone_07,Zone_07,0.9606,0.9606,0.0,True
CT000078,New Delhi,28.605914378606688,77.31296259489898,Zone_07,Zone_08,0.6714,0.3285,0.6714,False
CT009743,Faridabad,28.407560629478528,77.28986158518678,Zone_07,Zone_07,0.8356,0.8356,0.1609,True
CT000057,Gurugram,28.482313265743617,77.04115220510249,Zone_08,Zone_08,0.9898,0.0102,0.9898,True
CT012741,Ghaziabad,28.59570849253411,77.35958846306852,Zone_07,Zone_07,0.9653,0.9653,0.0018,True
CT008630,Ghaziabad,28.673297309736576,77.49350564684947,Zone_07,Zone_07,0.9858,0.9858,0.0008,True
CT018729,Gurugram,28.48287873784732,77.04959653344262,Zone_08,Zone_08,0.9999,0.0001,0.9999,True
CT018158,New Delhi,28.618270645913213,77.13142032946799,Zone_07,Zone_08,0.5937,0.4061,0.5937,False
CT014546,Faridabad,28.386719702083035,77.41826874549834,Zone_07,Zone_07,0.8615,0.8615,0.1385,True
CT012730,New Delhi,28.56147917666351,77.24421686598295,Zone_08,Zone_08,0.6743,0.3256,0.6743,True
CT010299,New Delhi,28.62022438142524,77.21600275523684,Zone_08,Zone_08,0.6697,0.3301,0.6697,True
CT005184,New Delhi,28.62991315316521,77.21316282041296,Zone_08,Zone_08,0.6787,0.3212,0.6787,True
CT004896,Gurugram,28.443621506329247,76.98124989047749,Zone_08,Zone_08,0.9999,0.0001,0.9999,True
CT004871,Gurugram,28.41776490450585,77.01775587535487,Zone_08,Zone_08,0.9999,0.0001,0.9999,True
CT014621,New Delhi,28.548204703908624,77.13179097704274,Zone_08,Zone_08,0.6547,0.3452,0.6547,True
CT010039,Faridabad,28.433487684167588,77.30900973854624,Zone_07,Zone_07,0.9143,0.9143,0.0844,True
CT019201,Noida,28.494478422215582,77.4404178455417,Zone_07,Zone_07,0.9972,0.9972,0.0027,True
CT019068,Noida,28.55599447067408,77.40699165320892,Zone_07,Zone_07,0.9986,0.9986,0.0008,True
CT005008,New Delhi,28.56471324448183,77.22590438782552,Zone_07,Zone_08,0.6736,0.3263,0.6736,False
CT012860,Faridabad,28.39889623689719,77.33900513539407,Zone_07,Zone_07,0.8671,0.8671,0.1328,True
CT000817,Ghaziabad,28.69692326533505,77.46031920810701,Zone_07,Zone_07,0.8915,0.8915,0.0067,True
CT008145,New Delhi,28.611725254524515,77.19813939304956,Zone_08,Zone_07,0.5062,0.5062,0.4936,False
CT005066,Faridabad,28.436543061896657,77.30461163188981,Zone_07,Zone_07,0.7809,0.7809,0.2191,True
CT011481,New Delhi,28.570524405145274,77.16328824975798,Zone_08,Zone_08,0.7481,0.2518,0.7481,True
CT017802,Ghaziabad,28.612992496474646,77.44891614823054,Zone_07,Zone_07,0.9645,0.9645,0.0066,True
CT017649,Gurugram,28.414893347323176,77.0542766069299,Zone_08,Zone_08,1.0,0.0,1.0,True
CT015231,New Delhi,28.573669167350225,77.25803976730681,Zone_08,Zone_08,0.6787,0.3213,0.6787,True
CT002758,New Delhi,28.597597940369,77.24720097323437,Zone_08,Zone_08,0.6245,0.3754,0.6245,True
CT014238,New Delhi,28.63249200968799,77.1552670387408,Zone_08,Zone_08,0.5963,0.4035,0.5963,True
CT008593,Ghaziabad,28.65728957556105,77.42625162137097,Zone_07,Zone_07,0.9848,0.9848,0.0,True
CT006575,Gurugram,28.405663531737297,77.00520340142056,Zone_08,Zone_08,0.9999,0.0001,0.9999,True
CT000384,Gurugram,28.4746292948918,76.98988899208747,Zone_08,Zone_08,0.9749,0.019,0.9749,True
CT002085,New Delhi,28.626709090536508,77.16330509977598,Zone_08,Zone_08,0.6954,0.3044,0.6954,True
CT006903,New Delhi,28.64341792460661,77.24352644761473,Zone_08,Zone_08,0.6861,0.3128,0.6861,True
CT014855,Ghaziabad,28.653878041866506,77.48590657340168,Zone_07,Zone_07,0.9823,0.9823,0.0,True
CT013946,Noida,28.570381158385693,77.43357338724718,Zone_07,Zone_07,0.9414,0.9414,0.027,True
CT012403,New Delhi,28.61217938620138,77.23043434353586,Zone_08,Zone_08,0.6437,0.3562,0.6437,True
CT012312,Gurugram,28.49651479132417,77.00710442453469,Zone_08,Zone_08,0.9998,0.0002,0.9998,True
CT010677,Gurugram,28.48630698771273,77.08024266031529,Zone_08,Zone_08,0.9998,0.0002,0.9998,True
CT005758,Gurugram,28.45951949498641,77.0548911192113,Zone_08,Zone_08,0.9997,0.0003,0.9997,True
CT005509,Noida,28.528101359106333,77.36744323767327,Zone_07,Zone_07,0.9933,0.9933,0.0066,True
CT013272,New Delhi,28.624675008794327,77.12848904394176,Zone_08,Zone_08,0.7196,0.2794,0.7196,True
CT012047,New Delhi,28.588581080267943,77.17219437676295,Zone_08,Zone_08,0.7076,0.2923,0.7076,True
CT008690,Ghaziabad,28.68423942851311,77.38278296372657,Zone_07,Zone_07,0.9638,0.9638,0.0025,True
CT001401,Gurugram,28.42560524289896,76.94341992280307,Zone_08,Zone_08,0.995,0.005,0.995,True
CT018264,Gurugram,28.4518074832037,77.06457406934469,Zone_08,Zone_08,0.9999,0.0001,0.9999,True
CT014188,Gurugram,28.487658819762945,77.1098923022709,Zone_08,Zone_08,0.999,0.001,0.999,True
CT019407,Ghaziabad,28.70268811935062,77.46743207944392,Zone_07,Zone_07,0.9762,0.9762,0.005,True
CT000900,Faridabad,28.42659793023132,77.18611238604794,Zone_07,Zone_07,0.6998,0.6998,0.2948,True
CT000976,New Delhi,28.701630854748704,77.2209922647025,Zone_07,Zone_08,0.6524,0.3471,0.6524,False
CT004110,Faridabad,28.372547619279565,77.33593587460003,Zone_07,Zone_07,0.8298,0.8298,0.1701,True
CT006240,Faridabad,28.385226506323946,77.2560603591822,Zone_08,Zone_07,0.7678,0.7678,0.2322,False
CT011917,Noida,28.50125931423654,77.37942674487378,Zone_07,Zone_07,0.9944,0.9944,0.0056,True
CT000252,Ghaziabad,28.69504098315194,77.41189009042438,Zone_07,Zone_07,0.993,0.993,0.0,True
CT002858,Gurugram,28.48521462679261,76.98519687456383,Zone_08,Zone_08,0.9999,0.0001,0.9999,True
CT007245,Gurugram,28.44386904685251,77.03184009963884,Zone_08,Zone_08,0.8654,0.052,0.8654,True
CT019637,New Delhi,28.636734068252608,77.26966640564663,Zone_07,Zone_08,0.5993,0.4006,0.5993,False
CT010137,New Delhi,28.630440323570195,77.19294839284082,Zone_08,Zone_08,0.7583,0.2415,0.7583,True
CT013800,New Delhi,28.61102310807302,77.25766260533088,Zone_08,Zone_08,0.6159,0.384,0.6159,True
CT014015,Noida,28.53430086676263,77.38438510550115,Zone_07,Zone_07,0.9874,0.9874,0.0084,True
CT011461,Gurugram,28.478952313044285,76.98701911951956,Zone_08,Zone_08,0.9999,0.0001,0.9999,True
CT002931,New Delhi,28.60155747355585,77.17520982215375,Zone_07,Zone_08,0.6379,0.3611,0.6379,False
CT010205,New Delhi,28.59075694625472,77.258661178732,Zone_08,Zone_08,0.6293,0.3706,0.6293,True
CT003516,Noida,28.57311401062708,77.38863967933878,Zone_07,Zone_07,0.9979,0.9979,0.002,True
CT008486,Ghaziabad,28.6733898175529,77.43989006313936,Zone_07,Zone_07,0.9052,0.9052,0.0043,True
CT008082,New Delhi,28.55547144361919,77.24831668619458,Zone_08,Zone_08,0.6987,0.301,0.6987,True
CT007265,Faridabad,28.38863420946165,77.33174299854372,Zone_08,Zone_07,0.7877,0.7877,0.2122,False
CT001339,Ghaziabad,28.687572102164296,77.50600942964569,Zone_07,Zone_07,0.9731,0.9731,0.0,True
CT012760,Gurugram,28.45860286875288,77.03030232283258,Zone_08,Zone_08,0.9979,0.0021,0.9979,True
CT013436,Gurugram,28.48395333309908,77.06419293515066,Zone_08,Zone_08,0.9793,0.0145,0.9793,True
CT000328,Faridabad,28.386175772147627,77.35204331494059,Zone_07,Zone_07,0.8271,0.8271,0.1729,True
CT016531,Faridabad,28.399713307854164,77.42622472615808,Zone_08,Zone_07,0.7734,0.7734,0.2265,False
CT015682,Gurugram,28.459954657088137,77.07839092001221,Zone_08,Zone_08,0.9999,0.0001,0.9999,True
CT007555,New Delhi,28.551924072675337,77.24190103257774,Zone_08,Zone_08,0.6759,0.324,0.6759,True
CT002862,Faridabad,28.448574314133342,77.32918167796768,Zone_07,Zone_07,0.8355,0.8355,0.1591,True
CT000102,New Delhi,28.595134893321124,77.22410047415897,Zone_07,Zone_07,0.5608,0.5608,0.4292,True
CT005383,Noida,28.56297453219981,77.44580545600346,Zone_07,Zone_07,0.9937,0.9937,0.0062,True
CT002361,Ghaziabad,28.71777246867335,77.479344491156,Zone_07,Zone_07,0.9278,0.9278,0.005,True
CT005168,Noida,28.56059764282293,77.37485973871651,Zone_07,Zone_07,0.9909,0.9909,0.009,True
CT013432,Gurugram,28.417952383714525,77.02447758263826,Zone_08,Zone_08,0.9999,0.0001,0.9999,True
CT009646,Gurugram,28.455515434961377,76.92449550504816,Zone_08,Zone_08,0.9577,0.0105,0.9577,True
CT006483,Ghaziabad,28.72412117294309,77.44988145405559,Zone_07,Zone_07,0.9852,0.9852,0.0002,True
CT005963,Gurugram,28.429420711696963,76.95000000498959,Zone_08,Zone_08,0.9762,0.0238,0.9762,True
CT001604,Noida,28.560128612255248,77.4276500955385,Zone_07,Zone_07,0.9925,0.9925,0.0067,True
CT001776,Faridabad,28.45635927779863,77.31775009667149,Zone_07,Zone_07,0.8333,0.8333,0.1666,True
CT004360,Noida,28.549415341482888,77.34742221283497,Zone_07,Zone_07,0.9941,0.9941,0.0059,True
CT009447,Faridabad,28.436503628948987,77.35515595957206,Zone_07,Zone_07,0.8401,0.8401,0.1587,True
CT002853,Noida,28.502997333689787,77.29809729138475,Zone_07,Zone_07,0.9307,0.9307,0.0693,True
CT003577,Ghaziabad,28.6470867550918,77.39525732037998,Zone_07,Zone_07,0.9887,0.9887,0.0,True
CT007796,New Delhi,28.625083640607983,77.21692598211004,Zone_07,Zone_08,0.6435,0.3564,0.6435,False
CT014447,New Delhi,28.64659008000944,77.13134651352131,Zone_08,Zone_08,0.5764,0.4236,0.5764,True
CT013630,Gurugram,28.449208341525345,77.1236233363184,Zone_08,Zone_08,0.9999,0.0001,0.9999,True
CT010660,Gurugram,28.44687668782279,76.99926952840757,Zone_08,Zone_08,0.9999,0.0001,0.9999,True
CT017627,Gurugram,28.48949911286251,77.04389792789803,Zone_08,Zone_08,1.0,0.0,1.0,True
CT002561,New Delhi,28.607535790550827,77.22384889018127,Zone_08,Zone_08,0.7705,0.2294,0.7705,True
CT000322,Gurugram,28.493216112640532,76.97731990603988,Zone_08,Zone_08,0.9788,0.0212,0.9788,True
CT011146,New Delhi,28.685314906908264,77.20500376593202,Zone_07,Zone_08,0.5557,0.4443,0.5557,False
CT001103,Noida,28.487472820975157,77.42039987222778,Zone_07,Zone_07,0.9947,0.9947,0.0051,True
CT004098,New Delhi,28.58231056717023,77.24576971154971,Zone_08,Zone_08,0.6666,0.3334,0.6666,True
CT004684,New Delhi,28.607472576111075,77.2070913439354,Zone_08,Zone_08,0.701,0.298,0.701,True
CT013783,New Delhi,28.603268844977563,77.29730264363342,Zone_07,Zone_08,0.6745,0.3254,0.6745,False
CT011541,Ghaziabad,28.66812524963901,77.44122064222861,Zone_07,Zone_07,0.9917,0.9917,0.0008,True
CT012287,Faridabad,28.423474544503964,77.34731670262278,Zone_07,Zone_07,0.8936,0.8936,0.1046,True
CT012410,New Delhi,28.58816281506029,77.16875905639878,Zone_07,Zone_08,0.677,0.323,0.677,False
CT006848,Gurugram,28.453114413938007,76.98315156825494,Zone_08,Zone_08,0.9674,0.0308,0.9674,True
CT006397,Noida,28.561293449725525,77.45155805083873,Zone_07,Zone_07,0.9943,0.9943,0.0051,True
CT004945,Faridabad,28.40192384384109,77.36102161552756,Zone_07,Zone_07,0.8843,0.8843,0.1156,True
CT019370,New Delhi,28.687593159582093,77.21796887737145,Zone_07,Zone_08,0.7155,0.2844,0.7155,False
CT011784,New Delhi,28.63754347201176,77.19865521251002,Zone_08,Zone_08,0.716,0.2839,0.716,True
CT008605,New Delhi,28.628412186904782,77.23963634603456,Zone_08,Zone_08,0.6358,0.3641,0.6358,True
CT019332,New Delhi,28.6297237342724,77.27959200320029,Zone_07,Zone_08,0.6097,0.3894,0.6097,False
CT009119,New Delhi,28.59182757642527,77.19816062481411,Zone_08,Zone_08,0.6156,0.3841,0.6156,True
CT006581,Ghaziabad,28.593338950270248,77.42611087886779,Zone_07,Zone_07,0.968,0.968,0.0,True
CT005589,Gurugram,28.49694959487949,76.93148174616594,Zone_08,Zone_08,0.9712,0.0072,0.9712,True
CT006872,Faridabad,28.47452137713279,77.31251276730302,Zone_08,Zone_07,0.8245,0.8245,0.1745,False
CT008563,Ghaziabad,28.674736728775464,77.44681362342347,Zone_07,Zone_07,0.9753,0.9753,0.0177,True
CT011130,Noida,28.57897779986056,77.41266279681417,Zone_07,Zone_07,0.9846,0.9846,0.0152,True
CT015828,Ghaziabad,28.68584691030468,77.401129740947,Zone_07,Zone_07,0.9488,0.9488,0.0,True
CT009274,New Delhi,28.585735163874094,77.2262323156932,Zone_07,Zone_08,0.6199,0.38,0.6199,False
CT008660,Gurugram,28.37595051665557,77.07022277696525,Zone_08,Zone_08,0.9973,0.0027,0.9973,True
CT011753,New Delhi,28.62181286174036,77.23392811878645,Zone_08,Zone_08,0.6736,0.3263,0.6736,True
CT018968,Faridabad,28.428496885103208,77.27033870018775,Zone_07,Zone_07,0.8192,0.8192,0.1808,True
CT014013,Noida,28.53595627708259,77.37559609664116,Zone_07,Zone_07,0.9904,0.9904,0.0094,True
CT004587,Faridabad,28.42663982270818,77.27673034815685,Zone_07,Zone_07,0.8284,0.8284,0.1715,True
CT015242,Noida,28.554768280678232,77.43612203248232,Zone_07,Zone_07,0.9943,0.9943,0.0052,True
CT018485,Noida,28.50635953002738,77.4368436196303,Zone_07,Zone_07,0.9817,0.9817,0.0181,True
CT019026,Faridabad,28.399301701727317,77.33775948502739,Zone_07,Zone_07,0.815,0.815,0.1849,True
CT007057,Ghaziabad,28.66466502830803,77.52853614089187,Zone_07,Zone_07,0.9879,0.9879,0.0026,True
CT000573,Gurugram,28.493904160804657,76.95514101006289,Zone_08,Zone_08,0.9958,0.0035,0.9958,True
CT004311,Faridabad,28.438989989934303,77.30933589808484,Zone_07,Zone_07,0.8495,0.8495,0.1413,True
CT008680,New Delhi,28.55349417430792,77.22794038086408,Zone_07,Zone_08,0.7294,0.2705,0.7294,False
CT014852,Noida,28.553391215798243,77.49446275981124,Zone_07,Zone_07,0.9711,0.9711,0.0276,True
CT009878,Ghaziabad,28.69544950602177,77.41486474758784,Zone_07,Zone_07,0.9491,0.9491,0.0,True
CT012447,New Delhi,28.67710959735101,77.19278475035728,Zone_07,Zone_08,0.7342,0.2655,0.7342,False
CT014768,Gurugram,28.4928798291202,77.03018859776256,Zone_08,Zone_08,0.9953,0.0047,0.9953,True
CT018980,New Delhi,28.568179864467616,77.20492260846044,Zone_08,Zone_08,0.7337,0.2662,0.7337,True
CT017075,Gurugram,28.475178566864727,77.08271705300717,Zone_08,Zone_08,0.9999,0.0001,0.9999,True
CT010812,New Delhi,28.60012573143224,77.2615688179326,Zone_08,Zone_08,0.5265,0.4654,0.5265,True
CT013717,New Delhi,28.590261084849896,77.2158795731461,Zone_08,Zone_08,0.5599,0.4399,0.5599,True
CT012100,New Delhi,28.596197047559706,77.28204075418498,Zone_08,Zone_08,0.7533,0.2466,0.7533,True
CT009506,New Delhi,28.62665711618922,77.211453706011,Zone_08,Zone_08,0.7058,0.2941,0.7058,True
CT009950,Faridabad,28.433028278111124,77.2953624980612,Zone_07,Zone_07,0.9046,0.9046,0.0901,True
