complaint_id,complaint_date,complaint_time,amount,bank,transaction_type,fraud_type,city,state,district,complaint_latitude,complaint_longitude,hour,day_of_week,day_name,is_weekend,is_night,amount_category,withdrawal_zone,synthetic_cashout_latitude,synthetic_cashout_longitude
CT000034,2026-04-03,13:03:43,10300.0,HDFC,IMPS,Identity Theft,Panipat,Haryana,Panipat,29.43096771632926,76.9433006844683,13,4,Friday,0,0,Medium,Zone_05,29.427300030560815,76.82669294816272
CT000035,2026-03-16,07:58:13,18600.0,Bank of Baroda,Debit Card,Card Fraud,Gurugram,Haryana,Gurugram,28.45385375954465,77.02729539960073,7,0,Monday,0,0,Medium,Zone_08,28.476836844469847,76.90764386122558
CT000036,2026-04-14,09:37:46,3800.0,Axis,UPI,UPI Fraud,Amritsar,Punjab,Amritsar,31.677401066626377,74.77048965856369,9,1,Tuesday,0,0,Low,Zone_01,31.674833105195276,74.88467152615097
CT000037,2026-06-29,11:29:36,59400.0,ICICI,UPI,Account Takeover,Ludhiana,Punjab,Ludhiana,30.88226341591617,75.85283576445117,11,0,Monday,0,0,High,Zone_03,30.842336386844607,75.82370666752851
CT000038,2025-12-22,14:01:23,61200.0,ICICI,UPI,Card Fraud,Gurugram,Haryana,Gurugram,28.46216507308243,76.9849321001475,14,0,Monday,0,0,High,Zone_08,28.37940523284795,77.08244334194151
CT000039,2026-01-12,10:23:27,15400.0,SBI,UPI,Remote Access,Amritsar,Punjab,Amritsar,31.6691937291911,74.87482345784811,10,0,Monday,0,0,Medium,Zone_01,31.582575188979533,74.98772825526632
CT000040,2026-06-16,22:29:43,17600.0,ICICI,NEFT,UPI Fraud,New Delhi,Delhi,New Delhi,28.5918512055443,77.12627269988077,22,1,Tuesday,0,1,Medium,Zone_08,28.6366379512857,77.2181126836264
CT000041,2026-06-21,21:36:56,5900.0,IndusInd,UPI,SIM Swap,Gurugram,Haryana,Gurugram,28.421726052415302,76.99965692593697,21,6,Sunday,1,0,Low,Zone_08,28.483854774453572,77.10736853528972
CT000042,2026-05-16,10:04:34,12200.0,SBI,UPI,Account Takeover,Ghaziabad,Uttar Pradesh,Ghaziabad,28.687164937678045,77.37675304411395,10,5,Saturday,1,0,Medium,Zone_07,28.610676484065028,77.3352038532632
CT000043,2026-07-08,14:52:40,17900.0,Union Bank,ATM,Remote Access,New Delhi,Delhi,New Delhi,28.599895977736473,77.18525993980386,14,2,Wednesday,0,0,Medium,Zone_07,28.73101991597194,77.25964750834807
CT000044,2026-08-27,17:00:14,15900.0,SBI,UPI,Card Fraud,Ambala,Haryana,Ambala,30.397832890021583,76.86662176371155,17,3,Thursday,0,0,Medium,Zone_04,30.292212744303892,76.72823053682781
CT000045,2026-02-16,09:35:14,3500.0,ICICI,ATM,UPI Fraud,Ghaziabad,Uttar Pradesh,Ghaziabad,28.659640281774944,77.39881910964857,9,0,Monday,0,0,Low,Zone_07,28.688518413735135,77.52671575439933
CT000046,2026-05-08,17:53:24,17800.0,PNB,UPI,Remote Access,Noida,Uttar Pradesh,Noida,28.463346311998755,77.33214926966501,17,4,Friday,0,0,Medium,Zone_07,28.57397448999015,77.45632015745717
CT000047,2026-08-12,13:46:23,11600.0,IndusInd,IMPS,UPI Fraud,Panipat,Haryana,Panipat,29.378219434085985,76.94799016676642,13,2,Wednesday,0,0,Medium,Zone_05,29.381134572922697,77.02136726370843
CT000048,2026-06-11,01:44:36,6100.0,SBI,UPI,Account Takeover,Chandigarh,Chandigarh,Chandigarh,30.769774369032717,76.72779817400512,1,3,Thursday,0,1,Low,Zone_04,30.734316220632707,76.81458405813764
CT000049,2025-12-05,10:12:55,6600.0,SBI,Debit Card,Investment Scam,New Delhi,Delhi,New Delhi,28.61338785706772,77.24934438880885,10,4,Friday,0,0,Low,Zone_07,28.581742762472537,77.26530107266278
CT000050,2026-02-03,09:14:50,6600.0,PNB,Debit Card,Loan Scam,Ludhiana,Punjab,Ludhiana,30.89301212064629,75.80492915999456,9,1,Tuesday,0,0,Low,Zone_03,30.950208116921534,75.85213152568764
CT000051,2026-05-08,20:05:52,30500.0,HDFC,UPI,Card Fraud,Amritsar,Punjab,Amritsar,31.60233341804603,74.79573409454662,20,4,Friday,0,0,Medium,Zone_01,31.65156767224591,74.94349343314394
CT000052,2025-12-08,14:44:14,85700.0,PNB,UPI,Investment Scam,Jalandhar,Punjab,Jalandhar,31.360058184697024,75.58888250892822,14,0,Monday,0,0,High,Zone_02,31.317110457148203,75.5445544060326
CT000053,2026-07-02,09:58:15,317700.0,Kotak Mahindra,ATM,Remote Access,Noida,Uttar Pradesh,Noida,28.483866520074624,77.43620359673153,9,3,Thursday,0,0,Very High,Zone_07,28.499627031067096,77.44000290920641
CT000054,2026-09-11,16:00:07,10900.0,SBI,Net Banking,Loan Scam,New Delhi,Delhi,New Delhi,28.609830801997333,77.2054447128123,16,4,Friday,0,0,Medium,Zone_08,28.52492647689205,77.11022587539406
CT000055,2026-04-29,13:33:46,4600.0,IndusInd,ATM,Investment Scam,New Delhi,Delhi,New Delhi,28.676348120032223,77.1669355641841,13,2,Wednesday,0,0,Low,Zone_08,28.721945435626264,77.21010873089799
CT000056,2026-05-09,13:57:52,10400.0,SBI,ATM,UPI Fraud,Noida,Uttar Pradesh,Noida,28.506311118330462,77.39937329569632,13,5,Saturday,1,0,Medium,Zone_07,28.513446207818216,77.38646719189944
CT000057,2026-06-05,09:04:20,6800.0,Canara Bank,Debit Card,Identity Theft,Gurugram,Haryana,Gurugram,28.482313265743617,77.04115220510249,9,4,Friday,0,0,Low,Zone_08,28.41555555339232,77.06105117620214
CT000058,2026-03-24,17:21:57,2100.0,Union Bank,ATM,UPI Fraud,Faridabad,Haryana,Faridabad,28.399798196744875,77.36096923430169,17,1,Tuesday,0,0,Low,Zone_07,28.405277934794782,77.3664646449771
CT000059,2026-06-13,20:37:53,27000.0,PNB,Net Banking,Card Fraud,Ludhiana,Punjab,Ludhiana,30.850920337820863,75.87092338419876,20,5,Saturday,1,0,Medium,Zone_03,30.842893789390235,75.77497641081469
CT000060,2026-09-30,14:41:03,10200.0,Union Bank,UPI,Account Takeover,Ludhiana,Punjab,Ludhiana,30.934779101787882,75.75737645947407,14,2,Wednesday,0,0,Medium,Zone_03,30.873453601954065,75.82174747946786
CT000061,2026-01-25,08:35:37,17400.0,Kotak Mahindra,ATM,Account Takeover,New Delhi,Delhi,New Delhi,28.54467400422233,77.19483548652714,8,6,Sunday,1,0,Medium,Zone_08,28.515006454921725,77.21886724431734
CT000062,2026-01-05,10:22:57,16100.0,SBI,NEFT,UPI Fraud,Gurugram,Haryana,Gurugram,28.457704878523316,76.99213020832678,10,0,Monday,0,0,Medium,Zone_08,28.48568397786767,77.09764832775355
CT000063,2026-03-23,11:57:00,10700.0,SBI,Debit Card,UPI Fraud,Faridabad,Haryana,Faridabad,28.498010199309814,77.29541810005463,11,0,Monday,0,0,Medium,Zone_07,28.38280875986509,77.26468514648735
CT000064,2026-06-15,21:32:44,2000.0,SBI,ATM,Investment Scam,Noida,Uttar Pradesh,Noida,28.533667589389285,77.26021207664535,21,0,Monday,0,0,Low,Zone_07,28.4925974507199,77.29175490213657
CT000065,2026-07-02,17:53:11,7200.0,ICICI,Net Banking,SIM Swap,New Delhi,Delhi,New Delhi,28.559527952986482,77.17493512105882,17,3,Thursday,0,0,Low,Zone_07,28.67025262698283,77.38616957038488
CT000066,2025-12-22,22:13:55,5600.0,PNB,UPI,Account Takeover,Faridabad,Haryana,Faridabad,28.386387947476315,77.24968125758912,22,0,Monday,0,1,Low,Zone_07,28.49888976137012,77.3349818217231
CT000067,2026-09-12,11:29:59,7600.0,Axis,ATM,Remote Access,Faridabad,Haryana,Faridabad,28.43882915309685,77.33508439105945,11,5,Saturday,1,0,Low,Zone_07,28.263214348310257,77.27185351956291
CT000068,2026-03-10,21:55:01,10100.0,Bank of Baroda,UPI,Loan Scam,Chandigarh,Chandigarh,Chandigarh,30.731732534547195,76.76629077365924,21,1,Tuesday,0,0,Medium,Zone_04,30.720813775131948,76.7293284961028
CT000069,2026-03-27,19:36:43,22900.0,ICICI,UPI,UPI Fraud,Jalandhar,Punjab,Jalandhar,31.284803510839467,75.58237118287715,19,4,Friday,0,0,Medium,Zone_02,31.282247931471257,75.64328026746881
CT000070,2026-02-16,22:41:56,13800.0,SBI,UPI,Card Fraud,Gurugram,Haryana,Gurugram,28.4495952505951,77.05728607301839,22,0,Monday,0,1,Medium,Zone_08,28.5178242311513,77.02899059336556
CT000071,2025-10-14,10:40:25,9500.0,HDFC,Net Banking,Loan Scam,Amritsar,Punjab,Amritsar,31.633366017533206,74.83973735747107,10,1,Tuesday,0,0,Low,Zone_01,31.62968446431249,74.87658674233717
CT000072,2026-07-03,22:04:10,16400.0,Union Bank,ATM,Phishing,Gurugram,Haryana,Gurugram,28.493182888014683,77.02511882246809,22,4,Friday,0,1,Medium,Zone_07,28.55812964557927,77.24308702879597
CT000073,2026-03-17,17:42:43,16200.0,ICICI,NEFT,Card Fraud,Ghaziabad,Uttar Pradesh,Ghaziabad,28.65321763129802,77.47478336772849,17,1,Tuesday,0,0,Medium,Zone_07,28.559554885412872,77.47736697038448
CT000074,2026-03-20,19:13:04,47200.0,HDFC,UPI,UPI Fraud,Patiala,Punjab,Patiala,30.34641205868976,76.46233939899302,19,4,Friday,0,0,Medium,Zone_04,30.346575635869293,76.29795704801865
CT000075,2026-04-10,09:29:58,187200.0,SBI,UPI,Identity Theft,Jalandhar,Punjab,Jalandhar,31.291309020431118,75.65167308363051,9,4,Friday,0,0,High,Zone_02,31.244884682023677,75.56082276557031
CT000076,2026-02-04,10:04:51,3900.0,Union Bank,Debit Card,Phishing,Chandigarh,Chandigarh,Chandigarh,30.753486483048224,76.80170883171064,10,2,Wednesday,0,0,Low,Zone_04,30.68181770742804,76.87326093408761
CT000077,2025-11-18,23:18:58,28700.0,HDFC,UPI,Investment Scam,Chandigarh,Chandigarh,Chandigarh,30.69658849112118,76.7431758575499,23,1,Tuesday,0,1,Medium,Zone_04,30.74974296490162,76.76289036314733
CT000078,2026-01-15,19:08:47,4100.0,PNB,ATM,Phishing,New Delhi,Delhi,New Delhi,28.605914378606688,77.31296259489898,19,3,Thursday,0,0,Low,Zone_07,28.60579655970144,77.27873582369344
CT000079,2026-04-18,21:33:41,27400.0,SBI,UPI,Account Takeover,Faridabad,Haryana,Faridabad,28.383107152260504,77.36899441956969,21,5,Saturday,1,0,Medium,Zone_08,28.450186703035655,77.22083761765633
CT000080,2026-08-02,10:03:26,3600.0,SBI,UPI,Investment Scam,Noida,Uttar Pradesh,Noida,28.56041758365937,77.43696870475831,10,6,Sunday,1,0,Low,Zone_07,28.52781574884969,77.53143448620264
CT000081,2026-03-09,14:42:04,12200.0,Bank of Baroda,ATM,Card Fraud,New Delhi,Delhi,New Delhi,28.627929767597657,77.26696837655871,14,0,Monday,0,0,Medium,Zone_07,28.54429495637237,77.23791051389452
CT000082,2025-12-16,15:58:50,7200.0,PNB,Debit Card,Remote Access,Gurugram,Haryana,Gurugram,28.46990511920918,77.00597097738066,15,1,Tuesday,0,0,Low,Zone_08,28.453218983630585,77.13903362777158
CT000083,2026-01-06,10:35:22,17100.0,Bank of Baroda,UPI,Account Takeover,Noida,Uttar Pradesh,Noida,28.599433419625697,77.33255764340291,10,1,Tuesday,0,0,Medium,Zone_07,28.5817037165393,77.36971337375331
CT000084,2026-03-17,08:39:53,8600.0,HDFC,UPI,Loan Scam,Ludhiana,Punjab,Ludhiana,30.92635704667735,75.85348410665968,8,1,Tuesday,0,0,Low,Zone_03,30.886645732552076,75.8390035540867
CT000085,2026-08-30,09:43:13,15600.0,Union Bank,UPI,Account Takeover,Jalandhar,Punjab,Jalandhar,31.350410910297985,75.59580821123197,9,6,Sunday,1,0,Medium,Zone_02,31.464979326113905,75.46313087169139
CT000086,2026-03-04,11:33:00,13200.0,Axis,UPI,Card Fraud,Ludhiana,Punjab,Ludhiana,30.929635306253243,75.85289925706398,11,2,Wednesday,0,0,Medium,Zone_03,31.00751975119004,75.78106611951944
CT000087,2026-01-03,13:05:19,33600.0,Union Bank,NEFT,Remote Access,New Delhi,Delhi,New Delhi,28.601372689731175,77.17296603455092,13,5,Saturday,1,0,Medium,Zone_08,28.630342474337397,77.08538104866655
CT000088,2026-03-22,01:39:03,14100.0,SBI,Debit Card,Investment Scam,Gurugram,Haryana,Gurugram,28.44943370778743,77.121798558102,1,6,Sunday,1,1,Medium,Zone_08,28.381021773859757,77.03735926091551
CT000089,2026-08-31,14:59:45,83900.0,ICICI,UPI,Investment Scam,Ludhiana,Punjab,Ludhiana,30.894361733518647,75.90194409786795,14,0,Monday,0,0,High,Zone_03,30.893982757425963,75.8511849229551
CT000090,2026-06-01,15:41:35,11600.0,ICICI,UPI,Account Takeover,Faridabad,Haryana,Faridabad,28.35394562160193,77.30281510538644,15,0,Monday,0,0,Medium,Zone_07,28.327480771383833,77.44423323867913
CT000091,2026-06-20,14:08:10,24400.0,Bank of Baroda,UPI,Account Takeover,Ludhiana,Punjab,Ludhiana,30.85200090322322,75.98707047728841,14,5,Saturday,1,0,Medium,Zone_03,31.02021053926863,75.83768661087626
CT000092,2026-08-20,16:33:02,5500.0,Bank of Baroda,UPI,UPI Fraud,New Delhi,Delhi,New Delhi,28.62037585445425,77.13165475051385,16,3,Thursday,0,0,Low,Zone_07,28.724030361789755,77.24401633660223
CT000093,2025-10-10,06:54:00,15500.0,Axis,NEFT,UPI Fraud,Gurugram,Haryana,Gurugram,28.50105650824532,76.97955907970129,6,4,Friday,0,0,Medium,Zone_08,28.47754257646928,76.92875487844552
CT000094,2025-11-27,21:47:38,9900.0,SBI,UPI,Loan Scam,Panipat,Haryana,Panipat,29.38110868608377,77.00641739311583,21,3,Thursday,0,0,Low,Zone_05,29.422285117523128,77.06499056200221
CT000095,2025-12-23,10:28:40,33500.0,SBI,IMPS,Remote Access,Chandigarh,Chandigarh,Chandigarh,30.680986194748254,76.8140018683531,10,1,Tuesday,0,0,Medium,Zone_04,30.75561345183156,76.75918870581734
CT000096,2026-06-19,13:34:20,24000.0,SBI,IMPS,Phishing,New Delhi,Delhi,New Delhi,28.577474368630128,77.14494124939121,13,4,Friday,0,0,Medium,Zone_08,28.60100158996871,77.15182140200854
CT000097,2025-12-16,20:54:52,18100.0,IndusInd,Net Banking,Phishing,Panipat,Haryana,Panipat,29.329839449831137,76.98559758534532,20,1,Tuesday,0,0,Medium,Zone_05,29.447870058416292,76.85747579312385
CT000098,2025-11-22,18:08:30,9100.0,HDFC,ATM,UPI Fraud,Ludhiana,Punjab,Ludhiana,30.960679615256215,75.82577267930196,18,5,Saturday,1,0,Low,Zone_03,31.04839373017067,75.83155046497541
CT000099,2026-03-05,18:12:37,32300.0,SBI,UPI,Account Takeover,Ludhiana,Punjab,Ludhiana,30.895796979102755,75.80490644051879,18,3,Thursday,0,0,Medium,Zone_03,30.916723686080967,75.72872855947782
CT000100,2025-10-03,20:08:55,24400.0,ICICI,IMPS,Loan Scam,Jaipur,Rajasthan,Jaipur,26.927092511328254,75.83446652179202,20,4,Friday,0,0,Medium,Zone_10,26.812063796295785,75.73047392471517
CT000101,2026-08-17,22:52:07,58900.0,SBI,IMPS,Account Takeover,Meerut,Uttar Pradesh,Meerut,29.02040047304441,77.67469044616173,22,0,Monday,0,1,High,Zone_06,29.009782980351055,77.73159861502296
CT000102,2025-10-03,02:05:44,900.0,Union Bank,Debit Card,Phishing,New Delhi,Delhi,New Delhi,28.595134893321124,77.22410047415897,2,4,Friday,0,1,Low,Zone_07,28.61240047264863,77.25259174560834
CT000103,2025-11-24,23:11:29,29900.0,HDFC,UPI,Account Takeover,Patiala,Punjab,Patiala,30.333751808465628,76.318446840695,23,0,Monday,0,1,Medium,Zone_04,30.446910961997464,76.41866722680814
CT000104,2026-08-24,22:11:21,25600.0,Canara Bank,UPI,UPI Fraud,Jaipur,Rajasthan,Jaipur,26.911185062161234,75.67705427848237,22,0,Monday,0,1,Medium,Zone_10,27.05898896669113,75.79751521049735
CT000105,2026-09-26,08:42:39,15800.0,Bank of Baroda,UPI,Card Fraud,Noida,Uttar Pradesh,Noida,28.569169362101484,77.26541977633055,8,5,Saturday,1,0,Medium,Zone_07,28.568852439217505,77.43468705367941
CT000106,2026-08-05,11:02:54,40000.0,Axis,UPI,UPI Fraud,New Delhi,Delhi,New Delhi,28.61901265589472,77.2398000821442,11,2,Wednesday,0,0,Medium,Zone_08,28.725241487669024,77.13257796107654
CT000107,2026-03-29,17:01:56,30800.0,Axis,ATM,Phishing,Gurugram,Haryana,Gurugram,28.471195520617105,76.98853269418169,17,6,Sunday,1,0,Medium,Zone_08,28.344317988573344,76.9689218121793
CT000108,2026-01-27,21:25:28,10400.0,Bank of Baroda,IMPS,Identity Theft,Chandigarh,Chandigarh,Chandigarh,30.710695953215808,76.75034949833211,21,1,Tuesday,0,0,Medium,Zone_04,30.788878940220936,76.68712473138686
CT000109,2026-08-31,15:19:31,5900.0,Bank of Baroda,Debit Card,Card Fraud,Ludhiana,Punjab,Ludhiana,30.872252251727506,75.82972386253266,15,0,Monday,0,0,Low,Zone_03,30.882186335740784,75.81083883449327
CT000110,2026-05-25,15:11:22,26000.0,SBI,Debit Card,Investment Scam,Meerut,Uttar Pradesh,Meerut,29.00405448585323,77.67031224803023,15,0,Monday,0,0,Medium,Zone_06,29.01277312029441,77.65789673524381
CT000111,2025-10-15,07:57:56,33200.0,Canara Bank,Net Banking,UPI Fraud,Gurugram,Haryana,Gurugram,28.471679942669812,77.02560655196432,7,2,Wednesday,0,0,Medium,Zone_08,28.53219226995434,77.0188594091991
CT000112,2025-11-24,18:37:56,5400.0,ICICI,Debit Card,Account Takeover,Amritsar,Punjab,Amritsar,31.61535051639538,74.92620962875797,18,0,Monday,0,0,Low,Zone_01,31.690327960504987,74.9174400077697
CT000113,2026-08-23,14:44:30,15500.0,ICICI,ATM,SIM Swap,Chandigarh,Chandigarh,Chandigarh,30.720152241007302,76.71152015727601,14,6,Sunday,1,0,Medium,Zone_04,30.694478413337013,76.75683394467309
CT000114,2026-07-03,07:58:01,7700.0,ICICI,Net Banking,Card Fraud,Faridabad,Haryana,Faridabad,28.417782356979256,77.28615040335549,7,4,Friday,0,0,Low,Zone_07,28.45615128546579,77.35041084145142
CT000115,2025-10-28,21:41:21,38200.0,Bank of Baroda,UPI,UPI Fraud,Amritsar,Punjab,Amritsar,31.6085810311899,74.92231740555467,21,1,Tuesday,0,0,Medium,Zone_01,31.686297029410177,74.85748079320426
CT000116,2026-09-30,10:16:32,32500.0,ICICI,NEFT,UPI Fraud,Ghaziabad,Uttar Pradesh,Ghaziabad,28.635645410908467,77.39728844971454,10,2,Wednesday,0,0,Medium,Zone_07,28.658610837421108,77.37806980654881
CT000117,2026-04-26,15:32:48,13700.0,ICICI,UPI,UPI Fraud,Noida,Uttar Pradesh,Noida,28.473593479666278,77.36075495381434,15,6,Sunday,1,0,Medium,Zone_07,28.567014513731884,77.4593237454565
CT000118,2026-09-10,20:04:56,12200.0,SBI,,Loan Scam,New Delhi,Delhi,New Delhi,28.638932937733323,77.20944797731306,20,3,Thursday,0,0,Medium,Zone_07,28.51531658067711,77.25388182655824
CT000119,2026-09-16,18:42:04,26700.0,ICICI,ATM,UPI Fraud,Gurugram,Haryana,Gurugram,28.448383819396128,76.99681802992755,18,2,Wednesday,0,0,Medium,Zone_08,28.29619396814172,77.06963316267289
CT000120,2026-05-20,10:36:56,18000.0,SBI,ATM,UPI Fraud,New Delhi,Delhi,New Delhi,28.596169943350635,77.13357004979552,10,2,Wednesday,0,0,Medium,Zone_08,28.660737675965176,77.18221587000146
CT000121,2025-10-21,23:55:12,12200.0,IndusInd,ATM,Remote Access,New Delhi,Delhi,New Delhi,28.62091398220911,77.16361578100135,23,1,Tuesday,0,1,Medium,Zone_07,28.624107284584493,77.30458023356307
CT000122,2026-03-13,07:18:09,3300.0,ICICI,UPI,Card Fraud,New Delhi,Delhi,New Delhi,28.613964282673916,77.20516182286488,7,4,Friday,0,0,Low,Zone_07,28.694206759020084,77.30181961481567
